y/m/d,high(Åé),low(Åé),max_precipitation_10min(mm),daylight_hours(hours)
01/11/1989,22.1,13.4,5,5.8
02/11/1989,19.9,13,0,10.2
03/11/1989,18.4,10.1,0,9.8
04/11/1989,20.8,12.2,0,5.7
05/11/1989,20.5,11.8,0,7.3
06/11/1989,22.5,14.4,0,3.9
07/11/1989,20.5,16.6,0.5,0
08/11/1989,21.9,16.1,0.5,1.3
09/11/1989,20.7,18.4,1,0
10/11/1989,18.6,14.2,1,0.2
11/11/1989,18.8,13.1,0,7.3
12/11/1989,20.1,12.7,0,4.6
13/11/1989,21.1,14.9,1.5,0.1
14/11/1989,17.7,10.2,0,0.1
15/11/1989,12.1,8.8,0.5,0.4
16/11/1989,12.5,8,1,0
17/11/1989,13,11.7,1,0
18/11/1989,17.8,11.9,0.5,6.8
19/11/1989,16.6,8.7,0,9.6
20/11/1989,15.4,6.7,0,9.7
21/11/1989,17.9,6.4,0,9.3
22/11/1989,16.9,8.3,0,8.5
23/11/1989,16.3,8.9,0,4.7
24/11/1989,17.4,8.3,0,8.4
25/11/1989,15,8.2,0,2.2
26/11/1989,15.4,6.4,0,9.4
27/11/1989,12.9,7.5,0,0
28/11/1989,20.5,7.6,0,3.7
29/11/1989,15.5,8.4,0,6.7
30/11/1989,12.8,5.8,0,9.5
01/12/1989,14.3,5.3,0,9.4
02/12/1989,16.6,6.7,0,9
03/12/1989,18.6,6.4,0,9.3
04/12/1989,20.1,7,0,7.5
05/12/1989,17.3,9.9,0,8.1
06/12/1989,17.6,9.2,0,8.6
07/12/1989,12.4,8.3,0,1
08/12/1989,14.8,7.2,0.5,4.8
09/12/1989,12.3,5.6,0,5.3
10/12/1989,11.8,4.9,0,9
11/12/1989,13.6,4.6,0,8
12/12/1989,12.5,6.2,0,2.7
13/12/1989,9.8,4.4,0,2.7
14/12/1989,8.2,3.7,0.5,0
15/12/1989,13.8,4,0,7.7
16/12/1989,13.3,7,0,7.7
17/12/1989,15.4,6,0,8.8
18/12/1989,13.8,7.2,0,7.8
19/12/1989,8.6,4.1,0,8.4
20/12/1989,11.7,4.3,0,9.2
21/12/1989,11.5,4.4,0,7.4
22/12/1989,11.3,4.2,0,2.5
23/12/1989,13,5.1,0,7.5
24/12/1989,8.6,4.5,2,0
25/12/1989,9.1,4.4,0.5,0
26/12/1989,11.3,6.7,0.5,1.4
27/12/1989,13.6,8.3,0,3.5
28/12/1989,10.7,6,0,4
29/12/1989,10.8,5.2,0,0.2
30/12/1989,10.4,3.9,0,8.6
31/12/1989,9.9,2.4,0,8.8
01/01/1990,9.8,1.4,0,8.8
02/01/1990,9.4,0.7,0,9.1
03/01/1990,9.1,2.4,0,8.7
04/01/1990,9.3,2.8,0,9.5
05/01/1990,10.6,2,0,9.4
06/01/1990,16.3,1.2,0,8.5
07/01/1990,9,4.2,0,9.5
08/01/1990,9.8,1.8,0,9.3
09/01/1990,11.4,2.4,0,2.9
10/01/1990,10.1,5.1,0.5,0
11/01/1990,13.1,7.4,0,9.3
12/01/1990,10.2,5,2,2.8
13/01/1990,10,2.7,0,5
14/01/1990,6,1.7,0,3.4
15/01/1990,8.8,1.2,0,7.9
16/01/1990,5.4,0.8,1,0
17/01/1990,6.8,0.1,0,9.3
18/01/1990,10.1,0.2,0,5.9
19/01/1990,9,3.9,0.5,0
20/01/1990,5.9,2.3,0.5,0.3
21/01/1990,6.7,0.3,0,7.2
22/01/1990,10.6,0.1,0,6.2
23/01/1990,7.3,0.9,0,0
24/01/1990,8.3,0.2,0,5.8
25/01/1990,6.2,0.3,0,7.9
26/01/1990,5.5,-0.3,0,7.9
27/01/1990,6.6,-1.4,0,8.2
28/01/1990,7.3,-1.1,0,9.3
29/01/1990,6.8,1.4,0,0.9
30/01/1990,12,3.1,0,6.3
31/01/1990,4.2,0.8,0.5,0
01/02/1990,1.5,0.4,1,0
02/02/1990,5.1,0.1,0,9.8
03/02/1990,5.3,0.3,0.5,1
04/02/1990,5.9,2.8,0.5,0
05/02/1990,5.8,1.7,0.5,1.4
06/02/1990,7.8,2.5,0,1.2
07/02/1990,8.3,4.8,0,0
08/02/1990,11.3,5.4,0,7.5
09/02/1990,7.3,2.3,0.5,2
10/02/1990,7.2,1.4,0,1.6
11/02/1990,17.1,6.5,1,0
12/02/1990,14.4,7.8,0,6.8
13/02/1990,11.2,5.7,0,8.3
14/02/1990,6.6,2,0.5,0
15/02/1990,6.5,1.8,0.5,0
16/02/1990,7.3,5.5,1,0
17/02/1990,13,4.9,0,9.7
18/02/1990,12.8,5.3,0,5.6
19/02/1990,9.6,7.3,0.5,0
20/02/1990,17.1,7.4,3,0
21/02/1990,17.2,7.8,0,9.9
22/02/1990,16.9,8.6,0,9.1
23/02/1990,13.6,10.5,0.5,0
24/02/1990,19.4,10.2,1.5,1.3
25/02/1990,14.4,9.7,1,0
26/02/1990,10.7,7.5,0.5,0
27/02/1990,10,7.3,0.5,0
28/02/1990,11,5.9,0.5,6.4
01/03/1990,9.7,5.6,0.5,0
02/03/1990,8.7,5.5,1,0
03/03/1990,9.1,5.7,0.5,0
04/03/1990,14.9,7.3,0.5,4.6
05/03/1990,11.3,7.6,0,1.3
06/03/1990,11.5,6.5,0,6
07/03/1990,15.4,5.5,0,9.5
08/03/1990,10.6,4.4,0,10.4
09/03/1990,14.5,6,0,10.2
10/03/1990,16.7,7.1,0,10.2
11/03/1990,17.1,8.4,0,8.1
12/03/1990,17.9,6.6,2,3.8
13/03/1990,11.4,5.3,0,10.8
14/03/1990,13.6,4.3,0,5
15/03/1990,19.4,9.4,0,4.5
16/03/1990,16.3,8.1,0,7.7
17/03/1990,14.3,7.4,0,4.7
18/03/1990,11.8,5.9,0.5,1.2
19/03/1990,16.2,5.9,0.5,11.2
20/03/1990,18.9,7.2,0,10.5
21/03/1990,15.4,8.3,0,9.7
22/03/1990,16.4,6.6,0,10.4
23/03/1990,18.7,9.3,0,10.2
24/03/1990,21.3,11.4,0,7.9
25/03/1990,13.4,5.6,0,11.2
26/03/1990,12.3,4.8,0,11.1
27/03/1990,14.3,4.8,0,11.1
28/03/1990,17,9.4,0,5.6
29/03/1990,12.5,9.1,1,0
30/03/1990,14.4,8.6,0,3.5
31/03/1990,11.6,10,1.5,0
01/04/1990,23.1,10.9,0,9.8
02/04/1990,18.6,11.9,0.5,4.4
03/04/1990,21.1,11.1,0,10.4
04/04/1990,18.4,13.2,2,0
05/04/1990,14,7.5,0,8.2
06/04/1990,15.3,6.1,0,10
07/04/1990,16.9,8,0,5.1
08/04/1990,19.9,12.2,1.5,1.3
09/04/1990,19.4,7.8,0,11.3
10/04/1990,22.3,12.2,0,5.5
11/04/1990,20.9,11.8,0,11.2
12/04/1990,21.8,11.7,0,10.4
13/04/1990,18.7,14.5,0.5,0
14/04/1990,19.2,12.4,1,0
15/04/1990,16.4,8.7,1.5,0.7
16/04/1990,11.8,8.3,1,0
17/04/1990,12.8,8.3,0.5,0.5
18/04/1990,12.8,7.5,1.5,0.9
19/04/1990,15.2,8.2,0,5.7
20/04/1990,16.1,9.3,0.5,2.1
21/04/1990,14.9,12.2,1.5,0
22/04/1990,17.9,12.2,2,0
23/04/1990,24.2,15.8,2.5,1.5
24/04/1990,20.4,12.5,0,4
25/04/1990,17.9,8.9,0,12.1
26/04/1990,20.9,11.8,2,4.8
27/04/1990,21.3,12.9,0,10.8
28/04/1990,22.5,14.4,0,8.7
29/04/1990,22.7,12.6,0.5,3.2
30/04/1990,19.7,9.7,0,12.8
01/05/1990,21.1,11.5,0,9.7
02/05/1990,13.5,11,0,0.3
03/05/1990,17.6,12,0.5,0
04/05/1990,19.8,12.9,0.5,0.1
05/05/1990,20.9,15.4,1,0
06/05/1990,21.4,14,0,9.5
07/05/1990,20.9,15.6,0.5,0
08/05/1990,23.5,16.2,4.5,4.6
09/05/1990,26.2,15.8,0,12.6
10/05/1990,25.5,17.5,0,10
11/05/1990,25.3,18.6,0,3.7
12/05/1990,24.3,17.9,0,0.3
13/05/1990,24.2,18.1,0,1.1
14/05/1990,23.6,17.5,17,0
15/05/1990,24,15.6,3,8.6
16/05/1990,22.4,14.2,1.5,7.9
17/05/1990,22.8,14.2,0,12.9
18/05/1990,22.1,15.5,0,3
19/05/1990,22.6,19.4,1,0
20/05/1990,23.3,17.9,0,5
21/05/1990,20.5,17.9,0.5,0
22/05/1990,24.8,15.3,0,10
23/05/1990,22.3,15.8,0,5.1
24/05/1990,20.8,14.5,0,5.3
25/05/1990,21.1,14.8,1,2.8
26/05/1990,23.6,14.3,1.5,11.1
27/05/1990,27.2,15.3,0,13.1
28/05/1990,27.7,17.2,0,11
29/05/1990,26.6,17.6,0,12.9
30/05/1990,28.4,17.7,0,11.7
31/05/1990,26.8,19.5,0,2.3
01/06/1990,26.2,19.3,1,4.6
02/06/1990,24.6,17.9,2,1.8
03/06/1990,28,19.1,0,10.7
04/06/1990,25.7,19.6,0,0.3
05/06/1990,22.7,17.2,1,0
06/06/1990,26.2,16.4,0,10.6
07/06/1990,26.7,19.8,0,6.5
08/06/1990,26.1,20.4,0,6.6
09/06/1990,23.4,18.4,2.5,0.2
10/06/1990,27.8,22.9,1.5,1.6
11/06/1990,25.9,21.8,0,5.3
12/06/1990,27.8,20.4,4.5,7.6
13/06/1990,25.9,20,0,1
14/06/1990,27.9,21.9,0,6.4
15/06/1990,26,20.9,0,0.6
16/06/1990,29,23.8,1,2.7
17/06/1990,31.3,21.9,0,9.5
18/06/1990,30.3,22,0,9.7
19/06/1990,28.5,22.4,0,11.9
20/06/1990,27.8,23.2,0,0
21/06/1990,28.5,23.2,0,0
22/06/1990,34.1,23.4,0,10.9
23/06/1990,29.4,24.3,0,11.8
24/06/1990,29.6,23.6,0,6.8
25/06/1990,30.4,24.9,0,0
26/06/1990,27.2,23.1,1,0
27/06/1990,24.8,18.3,0.5,0
28/06/1990,21.9,17.8,0.5,0.2
29/06/1990,21.4,17.1,0,0.8
30/06/1990,23.6,17.8,0,5.3
01/07/1990,22.1,18,0,0.1
02/07/1990,25.9,18.2,0,2.2
03/07/1990,25.3,21.3,1,0
04/07/1990,25.7,22.1,2.5,0.1
05/07/1990,30.7,23.1,3,7.4
06/07/1990,29.6,23.6,0,5.5
07/07/1990,27.2,21.3,0,0.2
08/07/1990,25.2,20,0,0.5
09/07/1990,24.4,20.8,0.5,0
10/07/1990,24.1,19.4,1.5,0
11/07/1990,28.5,20.4,0,4
12/07/1990,22.8,18.6,1,0
13/07/1990,23.1,17.9,4,0.1
14/07/1990,29,20.5,0,3.7
15/07/1990,30.8,24.8,0.5,4.4
16/07/1990,32.8,26.7,0,5.4
17/07/1990,34.3,26.9,0,9.5
18/07/1990,34.2,26.7,0,11.9
19/07/1990,34.6,26.8,0,10
20/07/1990,30.5,23.7,0,2.3
21/07/1990,30.4,22.4,0,11
22/07/1990,31.3,24.3,0,8.8
23/07/1990,32.8,26.1,0,6.2
24/07/1990,32.7,26.9,0,5.8
25/07/1990,30.7,26.2,0.5,3.6
26/07/1990,32.1,24.8,2,4.1
27/07/1990,31.2,23.6,0,10.1
28/07/1990,29.3,22.8,0,3.7
29/07/1990,30,23.3,0,6.8
30/07/1990,31.6,23.6,0,6.1
31/07/1990,30.8,23.3,0,10.3
01/08/1990,29.9,24.1,0,5
02/08/1990,32.3,24.9,0,9.5
03/08/1990,32.3,25.3,0,7.1
04/08/1990,31.4,24.8,1,4.7
05/08/1990,32.6,25.9,0,3.4
06/08/1990,33.6,26.2,0,6.6
07/08/1990,35.9,25.6,0,10.3
08/08/1990,34.1,25.9,9,7.1
09/08/1990,30.4,24.8,3.5,1
10/08/1990,28,24.9,8,0
11/08/1990,33.4,27.6,0,7.8
12/08/1990,34,26.9,0,5.9
13/08/1990,32.2,26.5,0,6.4
14/08/1990,34,27.2,0,12.8
15/08/1990,33.9,27.5,0,12.9
16/08/1990,34.5,26.9,0,12.1
17/08/1990,32.9,27.8,0,9.9
18/08/1990,31.8,23.9,0,4.7
19/08/1990,30.3,23.3,0,7.9
20/08/1990,32.2,25.6,0,10.2
21/08/1990,33.5,26.8,0,10.5
22/08/1990,31.7,28.1,0,3.7
23/08/1990,34.2,26.7,0,12.1
24/08/1990,35.9,28.8,0,10.3
25/08/1990,32.9,27.2,0,9.9
26/08/1990,32.4,22.6,2,7.7
27/08/1990,30.9,23.7,0,6.2
28/08/1990,29.3,23.3,1,4.1
29/08/1990,28.9,23.3,0,1.5
30/08/1990,30.7,25,0,8
31/08/1990,33.4,25.5,0,10.9
01/09/1990,31.9,25.8,0,8.6
02/09/1990,30.6,25,0.5,4.5
03/09/1990,31.1,23.8,0.5,4.3
04/09/1990,33.5,25.8,0,10.7
05/09/1990,27.8,24.2,0,0.7
06/09/1990,30.2,23.7,0,2
07/09/1990,24.6,20.1,4,0
08/09/1990,27.3,19.7,0,10.8
09/09/1990,26.5,20.7,0,3.5
10/09/1990,30,20.9,0,11.4
11/09/1990,30.9,22.6,0,10.7
12/09/1990,34,26.5,0,11.3
13/09/1990,30.7,22.4,6,1.5
14/09/1990,25.2,22.5,0.5,0
15/09/1990,27.5,22,0.5,0
16/09/1990,23.7,20.9,1,0.1
17/09/1990,26,20.5,2.5,0
18/09/1990,30.6,25.2,0,7.9
19/09/1990,31.5,25,0,6.9
20/09/1990,32.4,23,7.5,6.6
21/09/1990,25.7,21,0,4.8
22/09/1990,26.3,19,0,6.3
23/09/1990,27.5,18.8,0,10.9
24/09/1990,29.3,21.5,0,10.6
25/09/1990,28.4,22.8,0.5,0.8
26/09/1990,22.8,17.5,3,0
27/09/1990,22.4,16.8,0.5,0
28/09/1990,26.7,19,0,5.3
29/09/1990,25.3,21.4,0,0
30/09/1990,21.9,19.5,6.5,0
01/10/1990,27.5,18.4,0,10.2
02/10/1990,23.8,20.7,0,1.6
03/10/1990,25.4,18.4,0,4.1
04/10/1990,27.3,20.9,0,1.9
05/10/1990,28.1,22.4,0,1.2
06/10/1990,28.2,22,0.5,2.9
07/10/1990,22.5,16.7,0.5,0
08/10/1990,21.6,15.9,8,0
09/10/1990,21.8,15.7,0,2.1
10/10/1990,19.5,13.6,0,6.7
11/10/1990,20,11.6,0,9.8
12/10/1990,20.9,13.5,0,3.1
13/10/1990,18.6,16,0.5,0
14/10/1990,24.6,16.8,0,6.7
15/10/1990,23.5,18.8,1,0
16/10/1990,23.2,18.4,0,2.2
17/10/1990,22.9,18.6,0,1.4
18/10/1990,24.6,17.3,0,4
19/10/1990,23.3,17.1,0,7.6
20/10/1990,23.4,14.9,0,9
21/10/1990,22.3,14.8,0,9.7
22/10/1990,20.9,13.9,0,5.3
23/10/1990,20,13.2,1,5.5
24/10/1990,18.7,13.9,1,0
25/10/1990,20.5,13.8,0,6
26/10/1990,22.5,15.1,2.5,3.9
27/10/1990,23.3,14.2,0,9.3
28/10/1990,18.7,12.6,0,7.4
29/10/1990,19.7,12.2,0,7.7
30/10/1990,16.8,12.7,1.5,0
31/10/1990,21.4,12.6,1.5,8.3
01/11/1990,21.1,12.3,0,8.3
02/11/1990,21.5,13.3,0,9.3
03/11/1990,21.1,14,0,5.6
04/11/1990,19.8,14.4,2.5,0
05/11/1990,25.7,14.5,0,9.9
06/11/1990,23.2,14.1,0,9.3
07/11/1990,23.2,13.3,0,9.4
08/11/1990,21.7,15.1,0,9.1
09/11/1990,20.2,13.7,1,0
10/11/1990,23.2,11.6,2,5.7
11/11/1990,16,9,0,9.9
12/11/1990,19.1,8.5,0,8.5
13/11/1990,20.3,10.9,0,8.4
14/11/1990,20.7,12.9,0,8.5
15/11/1990,21.1,12.4,0.5,8.3
16/11/1990,17.2,11.1,0,6.8
17/11/1990,22.6,9.3,0,8.5
18/11/1990,17.5,13.3,0,1.1
19/11/1990,17.8,13.8,0,0.2
20/11/1990,18.4,14.1,5.5,0
21/11/1990,16,8.6,1,0.1
22/11/1990,14,5.8,0,6.3
23/11/1990,15.3,6.8,0,9
24/11/1990,14.6,7,0,9.5
25/11/1990,16.3,7.2,0,8
26/11/1990,17.7,10.5,0,2.7
27/11/1990,17.2,11.3,0,4.5
28/11/1990,13,10.9,1.5,0
29/11/1990,13,11.2,1,0
30/11/1990,21.2,11.5,4,0
01/12/1990,23.5,17,0,9.3
02/12/1990,18.5,10.2,0,9.3
03/12/1990,15.6,7.8,0,8.7
04/12/1990,15.4,7.7,0,8.6
05/12/1990,14.5,6.7,0,6.8
06/12/1990,15,6.7,0,8.4
07/12/1990,15.1,6.3,0,8
08/12/1990,16.7,6.6,0,8
09/12/1990,12.9,6.4,0,0.5
10/12/1990,17.5,9.4,0,6.3
11/12/1990,16.6,7.8,4,2.5
12/12/1990,15.5,7.8,2,9
13/12/1990,13,6.7,0,8.8
14/12/1990,17.1,5.7,0,3.7
15/12/1990,13.9,7.9,0,5.9
16/12/1990,9.8,6.6,0,3.2
17/12/1990,10.9,4.3,0,6
18/12/1990,10.5,4.1,0,6.5
19/12/1990,11.8,6.4,0,8.9
20/12/1990,9.6,4,0,1.7
21/12/1990,9.1,6.3,0.5,0
22/12/1990,13.2,5.2,0,5.7
23/12/1990,14.9,6.1,0,8.5
24/12/1990,11.8,5.4,0,8.5
25/12/1990,13.1,3.5,0,8.7
26/12/1990,12.9,3.2,0,1.1
27/12/1990,11.2,4.4,0,8.3
28/12/1990,10.6,4,0,6.6
29/12/1990,11.3,4.1,0,6.5
30/12/1990,11,3.1,0,8.7
31/12/1990,10.2,3.4,0,4.6
,,,,
,,,,
,tokyo,tokyo,tokyo,tokyo
îNåéì˙,high(Åé),low(Åé),max_precipitation_10min(mm),daylight_hours(hours)
,,,,
,,,,
01/01/1998,12.7,3.4,0,3.6
02/01/1998,11,5.2,0,4.3
03/01/1998,12.5,5.5,0,7.3
04/01/1998,10.8,4.3,0.5,2
05/01/1998,9.3,5.1,0,2.4
06/01/1998,13.6,2.7,0,7.2
07/01/1998,11.4,2.7,0,9.1
08/01/1998,5,0.4,,0
09/01/1998,6.8,0.4,0.5,8.3
10/01/1998,9.4,2.5,0,5.8
11/01/1998,6.9,1.7,0.5,0
12/01/1998,4.2,1.1,0.5,0
13/01/1998,8.7,1.4,0,9.1
14/01/1998,9.8,1.9,0,2.3
15/01/1998,5.9,0,1.5,0
16/01/1998,7.3,1.2,0.5,8.8
17/01/1998,6.1,0.5,0,1.6
18/01/1998,9.5,2.9,1,0
19/01/1998,9.8,3.2,0,0.3
20/01/1998,9.4,-0.7,0,9.1
21/01/1998,13.6,0.4,0,9.4
22/01/1998,10.9,1.9,0,8.8
23/01/1998,7.5,3.2,0,0
24/01/1998,10.1,0.1,0,8.4
25/01/1998,7.6,-0.2,0,9.8
26/01/1998,10.9,-0.8,0,9.5
27/01/1998,8.6,2.7,0,8.2
28/01/1998,9.1,2.1,0,3.2
29/01/1998,8.3,1.5,0,9.9
30/01/1998,9.3,0.5,0,4.4
31/01/1998,12.8,1.1,0,9.7
01/02/1998,9.3,2.8,0,7.1
02/02/1998,10,3.1,0,8.9
03/02/1998,11.2,2.9,0,5.8
04/02/1998,9.2,3.4,0,2.5
05/02/1998,9.1,2.3,0,7.1
06/02/1998,11,3,0,9.8
07/02/1998,10.9,2.9,1,4.8
08/02/1998,12.5,2.7,1,4.1
09/02/1998,11.7,2.4,0,10.1
10/02/1998,8.1,0.5,0.5,1.8
11/02/1998,10.8,2,0,8.7
12/02/1998,14.9,4.1,0.5,1.9
13/02/1998,17.8,5.6,0,9.6
14/02/1998,23.1,7.7,0,6.3
15/02/1998,8.1,1.3,1,0
16/02/1998,9.1,3.6,0,2.6
17/02/1998,10.7,2.6,0,8.1
18/02/1998,10.2,2,0,9.4
19/02/1998,14.2,2.1,0,7.3
20/02/1998,10.5,7.1,2,0
21/02/1998,9.6,2.1,0.5,2.1
22/02/1998,7.7,1.4,0,9.1
23/02/1998,12.5,2.9,0,9.9
24/02/1998,8.3,5.1,1,0
25/02/1998,7.1,3.9,0.5,0
26/02/1998,11.7,5.8,0.5,1.7
27/02/1998,14.5,7.1,0,8.5
28/02/1998,13.8,8,1,3.2
01/03/1998,8.2,0.7,1.5,0
02/03/1998,13.8,4.6,0,10.5
03/03/1998,14.3,4.2,0,9.8
04/03/1998,16.5,7.2,0,10.1
05/03/1998,10.5,1,1,0
06/03/1998,11.6,0.8,1,9.7
07/03/1998,12.1,3.9,0,10.7
08/03/1998,10.2,2.2,0,10.3
09/03/1998,16,4.8,0,7.5
10/03/1998,11.3,4.5,0,9
11/03/1998,11.9,3.3,0.5,6.6
12/03/1998,11.8,6.7,1,0
13/03/1998,13.8,9.3,0,0.2
14/03/1998,16.7,8.1,0,9.7
15/03/1998,12.3,3.4,0,7.2
16/03/1998,11.6,3.5,0,9.1
17/03/1998,14.4,3.6,0,6.2
18/03/1998,13,2.8,0,11
19/03/1998,16.5,4.6,0,6.7
20/03/1998,19.6,12.2,0.5,0.3
21/03/1998,12.4,6.7,0.5,0.6
22/03/1998,7.4,4.9,0.5,0
23/03/1998,13.2,2.6,0,7.1
24/03/1998,13.7,6.8,0,3
25/03/1998,15.1,8,0,5.8
26/03/1998,17.4,8.8,0,10.9
27/03/1998,16.3,9.5,2,0.1
28/03/1998,19.4,12.4,0,6
29/03/1998,22.2,10.4,0,9.1
30/03/1998,24.5,12.1,0,8.9
31/03/1998,18.6,10.2,0,5.4
01/04/1998,10.4,2.7,0.5,0
02/04/1998,6.7,2.5,2,0
03/04/1998,12.8,4.8,0,5.4
04/04/1998,16.4,7.3,0,8.8
05/04/1998,20.3,9.8,0,7
06/04/1998,16.5,11.9,1,0
07/04/1998,14.9,11.6,1.5,0
08/04/1998,19.5,11.3,1,0.7
09/04/1998,11.9,8.6,1,0
10/04/1998,23.4,10.2,0,12
11/04/1998,25.1,13.7,0,10.9
12/04/1998,20.1,13.6,0,1.9
13/04/1998,24.2,19.1,0,0.5
14/04/1998,23.5,20,1.5,0
15/04/1998,24.3,11.6,5,0.6
16/04/1998,19,10.7,0,1.6
17/04/1998,14.1,11.8,1.5,0
18/04/1998,18.1,11.6,0,1.7
19/04/1998,23,13.7,0,9.4
20/04/1998,27.1,16.1,0,11.1
21/04/1998,25.5,16.9,0,3.2
22/04/1998,25.8,19.5,0,9.5
23/04/1998,26.1,20.1,0,7.7
24/04/1998,24.7,19.1,1.5,0
25/04/1998,23.9,19.5,1,0
26/04/1998,20,10.5,1.5,0
27/04/1998,15,10.5,0.5,0
28/04/1998,20.1,14.1,0,1.3
29/04/1998,25.7,16.6,0,9.5
30/04/1998,23.7,16.6,0,6
01/05/1998,21.9,15.2,0,5.1
02/05/1998,25.3,17.9,0,2.8
03/05/1998,25.7,12,1,0
04/05/1998,17.9,10.6,0,1.4
05/05/1998,21.1,11.5,0,6.8
06/05/1998,24.8,18,0,3.1
07/05/1998,27.6,20.6,0,8.9
08/05/1998,27.7,18.2,5,0.7
09/05/1998,20.3,15.7,0.5,1.4
10/05/1998,22.3,16.9,0,0
11/05/1998,17.9,12.6,0.5,1.7
12/05/1998,23.7,11.8,1,0
13/05/1998,29.2,18.2,0,4.6
14/05/1998,20.8,16.6,0,1.4
15/05/1998,25,14.1,0,11.8
16/05/1998,26.8,16.9,0,7.1
17/05/1998,26.3,15.7,3,3.1
18/05/1998,26,20.7,1.5,0
19/05/1998,24.1,19,1,1.2
20/05/1998,26.7,19.1,0,11.8
21/05/1998,29.3,18.4,0,12.3
22/05/1998,27.6,19.4,0,12.2
23/05/1998,26.9,19.1,0,6.8
24/05/1998,25,17.9,2.5,0
25/05/1998,28.1,18.7,2.5,1.4
26/05/1998,20.2,13.8,0.5,0
27/05/1998,23,14.5,0.5,0.8
28/05/1998,25.7,16.6,0,12.5
29/05/1998,21.5,18.4,0.5,0
30/05/1998,25.9,19.6,0,1.9
31/05/1998,27.8,20.8,0.5,11.7
01/06/1998,27.4,18.2,0,8.8
02/06/1998,24.9,16.4,0,0
03/06/1998,18,15.6,1.5,0
04/06/1998,27.9,17.7,0,6.3
05/06/1998,23.3,16,1.5,0
06/06/1998,17.1,14.1,1.5,0
07/06/1998,17.4,13.8,0,0.2
08/06/1998,22.2,14.4,0,4.7
09/06/1998,21.7,17.2,0.5,0
10/06/1998,20.3,17.5,1.5,0
11/06/1998,23.4,18.4,0,1.2
12/06/1998,21.8,17.4,0,0.1
13/06/1998,20.6,16.7,0.5,0
14/06/1998,19.4,16.4,2,0
15/06/1998,29.5,19.1,0,5.7
16/06/1998,26.1,19.2,0,2
17/06/1998,26.1,20.7,0,0.6
18/06/1998,27.9,20.4,0,7.8
19/06/1998,25.8,19.3,1,0
20/06/1998,31.7,23.6,0,8.5
21/06/1998,24.9,18,0.5,0.6
22/06/1998,18.2,15.5,2,0
23/06/1998,19.1,15.6,0,0
24/06/1998,24.5,15,0,1.9
25/06/1998,24.5,19.6,0.5,0
26/06/1998,31.5,22.9,0,6.2
27/06/1998,33.7,26.4,0,4.2
28/06/1998,31.9,26,0,0.3
29/06/1998,27.7,22,0.5,3.1
30/06/1998,29.8,21.6,0,10.9
01/07/1998,30,24.3,0,2.8
02/07/1998,32.9,25,0,6.5
03/07/1998,34.4,26.3,0,9.3
04/07/1998,36.1,26.8,0,11.9
05/07/1998,31.6,25.9,0,8.4
06/07/1998,29.2,25.4,0,1.6
07/07/1998,31.6,26,0,1.2
08/07/1998,31.4,25.6,0,2.7
09/07/1998,35.2,25.3,0.5,5
10/07/1998,28.9,22.7,11.5,0.6
11/07/1998,30.1,22.4,2.5,4.4
12/07/1998,24,17.5,0.5,2
13/07/1998,22.1,17,0,0.1
14/07/1998,25.6,18.1,0,1.8
15/07/1998,23,19.2,0,0
16/07/1998,20.5,18.1,0.5,0
17/07/1998,22.7,17.8,0.5,0
18/07/1998,27.6,19.5,0,12.8
19/07/1998,27.8,19.9,0,3.1
20/07/1998,28,22.6,0,0.1
21/07/1998,27.2,21.2,0,4.1
22/07/1998,24.4,20.1,3.5,0
23/07/1998,30.8,20.7,3.5,7.3
24/07/1998,28.1,22.8,1.5,0.1
25/07/1998,29.2,23.9,1,0.5
26/07/1998,29.8,25,6,1.9
27/07/1998,32.2,25.2,0,9
28/07/1998,32.5,26.6,0,7.6
29/07/1998,32.5,25.5,0,6.7
30/07/1998,30,22.3,1,1
31/07/1998,28.5,21.7,0.5,1.1
01/08/1998,30.3,23.1,5,1.3
02/08/1998,34.1,26,0,4.5
03/08/1998,32.9,27.4,0.5,1.1
04/08/1998,32.7,25.7,1,3.2
05/08/1998,32.6,25,1,6.3
06/08/1998,31,25.6,0.5,0.7
07/08/1998,33.2,24,0.5,3.3
08/08/1998,27,20.9,0,0.9
09/08/1998,24,20.3,0,0
10/08/1998,29.2,22.6,0,4
11/08/1998,31,24.5,0,4.1
12/08/1998,31.4,25.8,0,0.6
13/08/1998,34.1,26.2,3,5.9
14/08/1998,30.6,24.7,4.5,3.1
15/08/1998,30.1,24.8,0,0.9
16/08/1998,35.5,25.7,0.5,7.2
17/08/1998,34.4,25,0,4.9
18/08/1998,28.5,24.3,0,0.2
19/08/1998,28.2,22.9,0,0.3
20/08/1998,34.2,25.5,0,2.9
21/08/1998,31.4,25.6,0,2.4
22/08/1998,27.9,23.6,0,0.2
23/08/1998,30.6,23.1,0,6.7
24/08/1998,32.2,24.6,0,8.4
25/08/1998,33.6,26.3,0,7.8
26/08/1998,32.9,27.4,0,5.1
27/08/1998,32,25.4,1.5,4
28/08/1998,28.1,24.2,10,0
29/08/1998,30.5,24.9,3.5,1.6
30/08/1998,28.6,21.4,5.5,0
31/08/1998,26.7,20.9,0.5,0.1
01/09/1998,26.4,21.9,0.5,1.2
02/09/1998,25.9,21.8,0,0
03/09/1998,27.1,21.9,0,0.4
04/09/1998,27.1,21.4,0,0.5
05/09/1998,27.2,21.8,0,3.1
06/09/1998,25.9,21.9,0,0
